Strasse,Hnr,adresse,lat,long,Alphateil,Zusatz,WahlbezirkNr,WahlbezirkName,WahlraumAnschriftStr
Bˆhmestraﬂe,13,"13 Bˆhmestraﬂe, Verden (Aller)",529362165,922442,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Bˆhmestraﬂe,15,"15 Bˆhmestraﬂe, Verden (Aller)",5293621659999990,9224359999999990,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Bˆhmestraﬂe,17,"17 Bˆhmestraﬂe, Verden (Aller)",529362246,9224083499999990,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Bˆhmestraﬂe,19,"19 Bˆhmestraﬂe, Verden (Aller)",529361948,92239963,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Bˆhmestraﬂe,21,"21 Bˆhmestraﬂe, Verden (Aller)",529360248,92238943,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Bˆhmestraﬂe,23,"23 Bˆhmestraﬂe, Verden (Aller)",529359538,9223856,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Bremer Straﬂe,38,"38 Bremer Straﬂe, Verden (Aller)",5292894219999990,92302727,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Bremer Straﬂe,40,"40 Bremer Straﬂe, Verden (Aller)",529291552,9230283,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Bremer Straﬂe,42,"42 Bremer Straﬂe, Verden (Aller)",529293288,9230258599999990,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Bremer Straﬂe,43,"43 Bremer Straﬂe, Verden (Aller)",529287891,92298409,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Bremer Straﬂe,44,"44 Bremer Straﬂe, Verden (Aller)",5292944079999990,92303841,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Bremer Straﬂe,45,"45 Bremer Straﬂe, Verden (Aller)",5292894829999990,92298691,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Bremer Straﬂe,45,"45 Bremer Straﬂe, Verden (Aller)",5292894829999990,92298691,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Bremer Straﬂe,46,"46 Bremer Straﬂe, Verden (Aller)",529295774,92302591,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Bremer Straﬂe,47,"47 Bremer Straﬂe, Verden (Aller)",5292906370000000,9229800299999990,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Bremer Straﬂe,48,"48 Bremer Straﬂe, Verden (Aller)",529353957,92315406,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Bremer Straﬂe,48,"48 Bremer Straﬂe, Verden (Aller)",529353957,92315406,b,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Bremer Straﬂe,49,"49 Bremer Straﬂe, Verden (Aller)",5292927830000000,9229758799999990,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Bremer Straﬂe,50,"50 Bremer Straﬂe, Verden (Aller)",529366851,92317263,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Bremer Straﬂe,52,"52 Bremer Straﬂe, Verden (Aller)",52935982,9231881399999990,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Bremer Straﬂe,53,"53 Bremer Straﬂe, Verden (Aller)",529299583,92297406,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Bremer Straﬂe,54,"54 Bremer Straﬂe, Verden (Aller)",5293692189999990,9231485800000000,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Bremer Straﬂe,55,"55 Bremer Straﬂe, Verden (Aller)",5293008140000000,92297304,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Bremer Straﬂe,56,"56 Bremer Straﬂe, Verden (Aller)",529370683,9231506699999990,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Bremer Straﬂe,57,"57 Bremer Straﬂe, Verden (Aller)",5293022999999990,9229590000000000,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Bremer Straﬂe,58,"58 Bremer Straﬂe, Verden (Aller)",529372926,92316111,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Bremer Straﬂe,59,"59 Bremer Straﬂe, Verden (Aller)",529305016,92296064,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Bremer Straﬂe,60,"60 Bremer Straﬂe, Verden (Aller)",529374772,92315329,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Bremer Straﬂe,62,"62 Bremer Straﬂe, Verden (Aller)",529376511,92316795,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Bremer Straﬂe,63,"63 Bremer Straﬂe, Verden (Aller)",529312055,92294401,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Bremer Straﬂe,65,"65 Bremer Straﬂe, Verden (Aller)",529313896,9229460099999990,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Bremer Straﬂe,66,"66 Bremer Straﬂe, Verden (Aller)",5293151080000000,92296915,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Bremer Straﬂe,67,"67 Bremer Straﬂe, Verden (Aller)",5293155240000000,92293291,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Bremer Straﬂe,69,"69 Bremer Straﬂe, Verden (Aller)",529316846,92292597,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Bremer Straﬂe,71,"71 Bremer Straﬂe, Verden (Aller)",529318537,92292598,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Bremer Straﬂe,73,"73 Bremer Straﬂe, Verden (Aller)",529320272,92292043,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Bremer Straﬂe,75,"75 Bremer Straﬂe, Verden (Aller)",52932201,92292817,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Bremer Straﬂe,77,"77 Bremer Straﬂe, Verden (Aller)",529324932,9229190599999990,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Bremer Straﬂe,79,"79 Bremer Straﬂe, Verden (Aller)",529326623,92291907,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Bremer Straﬂe,81,"81 Bremer Straﬂe, Verden (Aller)",529328271,92292464,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Bremer Straﬂe,83,"83 Bremer Straﬂe, Verden (Aller)",5293295999999990,922925,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Bremer Straﬂe,85,"85 Bremer Straﬂe, Verden (Aller)",529330742,92293299,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Bremer Straﬂe,89,"89 Bremer Straﬂe, Verden (Aller)",529334552,92294675,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Bremer Straﬂe,91,"91 Bremer Straﬂe, Verden (Aller)",529336879,9229677500000000,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Bremer Straﬂe,93,"93 Bremer Straﬂe, Verden (Aller)",529336901,92296787,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Bremer Straﬂe,95,"95 Bremer Straﬂe, Verden (Aller)",529340085,9229816699999990,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Bremer Straﬂe,97,"97 Bremer Straﬂe, Verden (Aller)",5293424,922988,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Bremer Straﬂe,99,"99 Bremer Straﬂe, Verden (Aller)",529343792,92299419,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Bremer Straﬂe,101,"101 Bremer Straﬂe, Verden (Aller)",5293453,923005,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Bremer Straﬂe,105,"105 Bremer Straﬂe, Verden (Aller)",529348331,9230222,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Bremer Straﬂe,107,"107 Bremer Straﬂe, Verden (Aller)",529350382,92301646,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Bremer Straﬂe,109,"109 Bremer Straﬂe, Verden (Aller)",529351032,92304148,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Bremer Straﬂe,111,"111 Bremer Straﬂe, Verden (Aller)",529353048,92305399,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Bremer Straﬂe,111,"111 Bremer Straﬂe, Verden (Aller)",529353048,92305399,a,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Bremer Straﬂe,113,"113 Bremer Straﬂe, Verden (Aller)",5293553,9230459999999990,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Bremer Straﬂe,117,"117 Bremer Straﬂe, Verden (Aller)",52935734,9230456799999990,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Bremer Straﬂe,119,"119 Bremer Straﬂe, Verden (Aller)",529359671,92304499,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Bremer Straﬂe,121,"121 Bremer Straﬂe, Verden (Aller)",529362511,9230603,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Bremer Straﬂe,125,"125 Bremer Straﬂe, Verden (Aller)",529367909,9230728299999990,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Bremer Straﬂe,127,"127 Bremer Straﬂe, Verden (Aller)",52937102,9230804899999990,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Bremer Straﬂe,129,"129 Bremer Straﬂe, Verden (Aller)",5293736209999990,9230721599999990,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Bremer Straﬂe,131,"131 Bremer Straﬂe, Verden (Aller)",529374096,9230986099999990,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Bremer Straﬂe,133,"133 Bremer Straﬂe, Verden (Aller)",529374096,9230986099999990,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Bremer Straﬂe,135,"135 Bremer Straﬂe, Verden (Aller)",529381826,92313127,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Donaustraﬂe,4,"4 Donaustraﬂe, Verden (Aller)",52931043,92288148,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Donaustraﬂe,6,"6 Donaustraﬂe, Verden (Aller)",5293102349999990,9228523,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Donaustraﬂe,10,"10 Donaustraﬂe, Verden (Aller)",52931067,92279672,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Eisseler Straﬂe,15,"15 Eisseler Straﬂe, Verden (Aller)",529408432,92310875,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Eisseler Straﬂe,19,"19 Eisseler Straﬂe, Verden (Aller)",5294134500000000,9230070399999990,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Elbestraﬂe,1,"1 Elbestraﬂe, Verden (Aller)",5293692,92298876,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Elbestraﬂe,2,"2 Elbestraﬂe, Verden (Aller)",529369548,92294429,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Elbestraﬂe,3,"3 Elbestraﬂe, Verden (Aller)",529367406,92298984,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Elbestraﬂe,4,"4 Elbestraﬂe, Verden (Aller)",5293678999999990,92293872,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Elbestraﬂe,6,"6 Elbestraﬂe, Verden (Aller)",5293666640000000,92293454,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Elbestraﬂe,7,"7 Elbestraﬂe, Verden (Aller)",529364393,92296823,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Elbestraﬂe,8,"8 Elbestraﬂe, Verden (Aller)",529364605,92292759,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Elbestraﬂe,9,"9 Elbestraﬂe, Verden (Aller)",529363022,92296788,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Elbestraﬂe,10,"10 Elbestraﬂe, Verden (Aller)",529363326,9229289699999990,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Elbestraﬂe,11,"11 Elbestraﬂe, Verden (Aller)",529361694,9229619699999990,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Elbestraﬂe,12,"12 Elbestraﬂe, Verden (Aller)",529361678,9229234,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Elbestraﬂe,13,"13 Elbestraﬂe, Verden (Aller)",529358632,92296161,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Elbestraﬂe,14,"14 Elbestraﬂe, Verden (Aller)",529359066,92290602,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Elbestraﬂe,15,"15 Elbestraﬂe, Verden (Aller)",529358458,92298384,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Elbestraﬂe,16,"16 Elbestraﬂe, Verden (Aller)",52935924,92288379,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Elbestraﬂe,17,"17 Elbestraﬂe, Verden (Aller)",529355933,92295534,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Elbestraﬂe,18,"18 Elbestraﬂe, Verden (Aller)",529355771,9228948899999990,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Elbestraﬂe,19,"19 Elbestraﬂe, Verden (Aller)",529355304,9229817400000000,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Elbestraﬂe,20,"20 Elbestraﬂe, Verden (Aller)",529356129,92287613,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Elbestraﬂe,21,"21 Elbestraﬂe, Verden (Aller)",5293536,9229379999999990,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Elbestraﬂe,23,"23 Elbestraﬂe, Verden (Aller)",529352691,92296436,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Fuldastraﬂe,2,"2 Fuldastraﬂe, Verden (Aller)",529353253,92231422,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Fuldastraﬂe,4,"4 Fuldastraﬂe, Verden (Aller)",5293530999999990,922318,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Fuldastraﬂe,6,"6 Fuldastraﬂe, Verden (Aller)",529354287,92234077,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Fuldastraﬂe,8,"8 Fuldastraﬂe, Verden (Aller)",529353095,9223310399999990,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Fuldastraﬂe,10,"10 Fuldastraﬂe, Verden (Aller)",529353029,92233938,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Fuldastraﬂe,12,"12 Fuldastraﬂe, Verden (Aller)",5293530999999990,922349,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Fuldastraﬂe,14,"14 Fuldastraﬂe, Verden (Aller)",529353815,92236057,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Fuldastraﬂe,16,"16 Fuldastraﬂe, Verden (Aller)",5293533,922391,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Fuldastraﬂe,18,"18 Fuldastraﬂe, Verden (Aller)",5293535,92239,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Fuldastraﬂe,20,"20 Fuldastraﬂe, Verden (Aller)",529355285,92238164,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Fuldastraﬂe,22,"22 Fuldastraﬂe, Verden (Aller)",5293555,922381,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Fuldastraﬂe,24,"24 Fuldastraﬂe, Verden (Aller)",529357067,92237726,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Fuldastraﬂe,26,"26 Fuldastraﬂe, Verden (Aller)",5293579339999990,92237448,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Halsm¸hlenweg,2,"2 Halsm¸hlenweg, Verden (Aller)",529381649,9226348699999990,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Halsm¸hlenweg,4,"4 Halsm¸hlenweg, Verden (Aller)",529381342,92263439,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Halsm¸hlenweg,21,"21 Halsm¸hlenweg, Verden (Aller)",529397497,9226678399999990,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Halsm¸hlenweg,23,"23 Halsm¸hlenweg, Verden (Aller)",529398776,92266645,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Hamburger Straﬂe,2,"2 Hamburger Straﬂe, Verden (Aller)",5294214179999990,9232825499999990,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Hamburger Straﬂe,4,"4 Hamburger Straﬂe, Verden (Aller)",529406572,92329194,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Hamburger Straﬂe,6,"6 Hamburger Straﬂe, Verden (Aller)",52940822,9232975099999990,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Hamburger Straﬂe,8,"8 Hamburger Straﬂe, Verden (Aller)",5294095420000000,92329057,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Hˆltenwerder,1,"1 Hˆltenwerder, Verden (Aller)",5293560739999990,92131292,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Hˆltenwerder,2,"2 Hˆltenwerder, Verden (Aller)",5293620629999990,92131743,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Lechstraﬂe,1,"1 Lechstraﬂe, Verden (Aller)",52931068,9228224299999990,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Lechstraﬂe,2,"2 Lechstraﬂe, Verden (Aller)",529313466,9228175799999990,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Lechstraﬂe,3,"3 Lechstraﬂe, Verden (Aller)",529316024,92281481,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Lechstraﬂe,4,"4 Lechstraﬂe, Verden (Aller)",529316219,92284399,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Lechstraﬂe,6,"6 Lechstraﬂe, Verden (Aller)",529313162,92285648,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Lechstraﬂe,7,"7 Lechstraﬂe, Verden (Aller)",529311883,9228578599999990,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Lesumstraﬂe,1,"1 Lesumstraﬂe, Verden (Aller)",529348609,9225990399999990,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Lesumstraﬂe,2,"2 Lesumstraﬂe, Verden (Aller)",52935066,9224668699999990,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Lesumstraﬂe,3,"3 Lesumstraﬂe, Verden (Aller)",529348162,92257702,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Lesumstraﬂe,4,"4 Lesumstraﬂe, Verden (Aller)",52934856,92242781,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Lesumstraﬂe,5,"5 Lesumstraﬂe, Verden (Aller)",5293480460000000,92255787,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Lesumstraﬂe,6,"6 Lesumstraﬂe, Verden (Aller)",529348197,9224171799999990,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Lesumstraﬂe,7,"7 Lesumstraﬂe, Verden (Aller)",529347353,9225384199999990,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Lesumstraﬂe,8,"8 Lesumstraﬂe, Verden (Aller)",5293479,922386,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Lesumstraﬂe,9,"9 Lesumstraﬂe, Verden (Aller)",529347527,92251618,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Lesumstraﬂe,10,"10 Lesumstraﬂe, Verden (Aller)",52934897,92235848,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Lesumstraﬂe,11,"11 Lesumstraﬂe, Verden (Aller)",529346465,9224897799999990,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Lesumstraﬂe,12,"12 Lesumstraﬂe, Verden (Aller)",529344672,92235395,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Lesumstraﬂe,13,"13 Lesumstraﬂe, Verden (Aller)",5293465029999990,9224713699999990,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Lesumstraﬂe,15,"15 Lesumstraﬂe, Verden (Aller)",5293459009999990,92245365,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Lesumstraﬂe,17,"17 Lesumstraﬂe, Verden (Aller)",5293458,922406,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Lesumstraﬂe,19,"19 Lesumstraﬂe, Verden (Aller)",5293458760000000,92240208,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Lesumstraﬂe,21,"21 Lesumstraﬂe, Verden (Aller)",5293451,9223939,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Lesumstraﬂe,23,"23 Lesumstraﬂe, Verden (Aller)",529344379,9223643700000000,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Mainstraﬂe,1,"1 Mainstraﬂe, Verden (Aller)",529352347,92279204,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Mainstraﬂe,1,"1 Mainstraﬂe, Verden (Aller)",529352347,92279204,a,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Mainstraﬂe,3,"3 Mainstraﬂe, Verden (Aller)",52935405,92270936,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Mainstraﬂe,5,"5 Mainstraﬂe, Verden (Aller)",529354224,9226871299999990,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Mainstraﬂe,7,"7 Mainstraﬂe, Verden (Aller)",529354397,9226649,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Maulhoop,1,"1 Maulhoop, Verden (Aller)",529285698,9227466,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Maulhoop,2,"2 Maulhoop, Verden (Aller)",529288602,92280774,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Maulhoop,3,"3 Maulhoop, Verden (Aller)",529287844,92274244,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Maulhoop,4,"4 Maulhoop, Verden (Aller)",529290293,92280775,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Maulhoop,17,"17 Maulhoop, Verden (Aller)",529304926,9227202799999990,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
